Baseline_BaselineImp: first is better
('A24. kicking something.', -0.051, 0.9601449275362319, 0.9094202898550725)
('A32. taking a selfie.', -0.036, 0.927536231884058, 0.8913043478260869)
('A71. make ok sign.', -0.035, 0.4678260869565217, 0.4330434782608696)
('A62. take off headphone.', -0.03, 0.9028268551236749, 0.872791519434629)
('A44. touch head (headache).', -0.029, 0.8297101449275363, 0.8007246376811594)
('A12. writing.', -0.026, 0.5367647058823529, 0.5110294117647058)
('A17. take off a shoe.', -0.026, 0.7591240875912408, 0.7335766423357665)
('A103. yawn.', -0.026, 0.6991304347826087, 0.6730434782608695)
('A35. nod head/bow.', -0.025, 0.9746376811594203, 0.9492753623188406)
('A39. put the palms together.', -0.025, 0.9202898550724637, 0.894927536231884)
('A86. apply cream on hand back.', -0.024, 0.7334494773519163, 0.7090592334494773)
('A11. reading.', -0.022, 0.6556776556776557, 0.6336996336996337)
('A102. side kick.', -0.021, 0.9442508710801394, 0.9233449477351916)
('A105. blow nose.', -0.021, 0.6452173913043479, 0.6243478260869565)
('A1. drink water.', -0.018, 0.8576642335766423, 0.8394160583941606)
('A25. reach into pocket.', -0.018, 0.8394160583941606, 0.8211678832116789)
('A49. use a fan (with hand or paper)/feeling warm.', -0.018, 0.9272727272727272, 0.9090909090909091)
('A22. cheer up.', -0.015, 0.9343065693430657, 0.9197080291970803)
('A100. butt kicks (kick backward).', -0.014, 0.9581881533101045, 0.9442508710801394)
('A61. put on headphone.', -0.012, 0.910873440285205, 0.8983957219251337)
('A4. brushing hair.', -0.011, 0.8827838827838828, 0.8717948717948718)
('A45. touch chest (stomachache/heart pain).', -0.011, 0.9130434782608695, 0.9021739130434783)
('A56. giving something to other person.', -0.011, 0.8586956521739131, 0.8478260869565217)
('A111. step on foot.', -0.01, 0.9373913043478261, 0.9269565217391305)
('A117. whisper in other person’s ear.', -0.01, 0.9269565217391305, 0.9165217391304348)
('A69. thumb up.', -0.009, 0.6295652173913043, 0.6208695652173913)
('A19. take off glasses.', -0.007, 0.948905109489051, 0.9416058394160584)
('A21. take off a hat/cap.', -0.007, 0.978021978021978, 0.9706959706959707)
('A31. pointing to something with finger.', -0.007, 0.7753623188405797, 0.7681159420289855)
('A34. rub two hands together.', -0.007, 0.8586956521739131, 0.8514492753623188)
('A88. take off bag.', -0.007, 0.9201388888888888, 0.9131944444444444)
('A91. open a box.', -0.007, 0.6986062717770035, 0.6916376306620209)
('A107. wield knife towards other person.', -0.007, 0.6875, 0.6805555555555556)
('A115. take a photo of other person.', -0.007, 0.9392361111111112, 0.9322916666666666)
('A116. follow other person.', -0.007, 0.9565972222222222, 0.9496527777777778)
('A74. counting money.', -0.005, 0.5368421052631579, 0.531578947368421)
('A120. finger-guessing game (playing rock-paper-scissors).', -0.005, 0.9722222222222222, 0.9670138888888888)
('A2. eat meal/snack.', -0.004, 0.7127272727272728, 0.7090909090909091)
('A8. sitting down.', -0.004, 0.967032967032967, 0.9633699633699634)
('A9. standing up (from sitting position).', -0.004, 0.9926739926739927, 0.989010989010989)
('A13. tear up paper.', -0.004, 0.8745387453874539, 0.8708487084870848)
('A15. take off jacket.', -0.004, 0.9710144927536232, 0.967391304347826)
('A23. hand waving.', -0.004, 0.9233576642335767, 0.9197080291970803)
('A28. make a phone call/answer phone.', -0.004, 0.8363636363636363, 0.8327272727272728)
('A42. staggering.', -0.004, 0.9927536231884058, 0.9891304347826086)
('A53. pat on back of other person.', -0.004, 0.927536231884058, 0.9239130434782609)
('A54. point finger at the other person.', -0.004, 0.9057971014492754, 0.9021739130434783)
('A55. hugging other person.', -0.004, 0.9927007299270073, 0.9890510948905109)
('A68. flick hair.', -0.003, 0.8034782608695652, 0.8)
('A90. take something out of a bag.', -0.003, 0.8472222222222222, 0.84375)
('A85. apply cream on face.', -0.002, 0.8536585365853658, 0.8519163763066202)
('A98. arm swings.', -0.002, 0.9895470383275261, 0.9878048780487805)
('A16. wear a shoe.', 0.0, 0.8168498168498168, 0.8168498168498168)
('A18. wear on glasses.', 0.0, 0.9304029304029304, 0.9304029304029304)
('A38. salute.', 0.0, 0.927536231884058, 0.927536231884058)
('A46. touch back (backache).', 0.0, 0.9202898550724637, 0.9202898550724637)
("A57. touch other person's pocket.", 0.0, 0.9309090909090909, 0.9309090909090909)
('A59. walking towards each other.', 0.0, 0.989010989010989, 0.989010989010989)
('A63. shoot at the basket.', 0.0, 0.8601398601398601, 0.8601398601398601)
('A73. staple book.', 0.0, 0.3345008756567426, 0.3345008756567426)
('A77. snapping fingers.', 0.0, 0.6498257839721254, 0.6498257839721254)
('A97. arm circles.', 0.0, 0.991304347826087, 0.991304347826087)
('A104. stretch oneself.', 0.002, 0.9166666666666666, 0.9184027777777778)
('A113. cheers and drink.', 0.002, 0.9808695652173913, 0.9826086956521739)
('A78. open bottle.', 0.003, 0.7120418848167539, 0.7155322862129145)
('A81. toss a coin.', 0.003, 0.8952879581151832, 0.8987783595113438)
('A83. ball up paper.', 0.003, 0.7269565217391304, 0.7304347826086957)
('A87. put on bag.', 0.003, 0.9530434782608695, 0.9565217391304348)
('A99. running on the spot.', 0.003, 0.9669565217391304, 0.9704347826086956)
('A6. pickup.', 0.004, 0.9854545454545455, 0.9890909090909091)
('A27. jump up.', 0.004, 0.9963768115942029, 1.0)
('A60. walking apart from each other.', 0.004, 0.9601449275362319, 0.9637681159420289)
('A67. hush (quite).', 0.005, 0.7731239092495636, 0.7783595113438045)
('A79. sniff (smell).', 0.005, 0.7947826086956522, 0.8)
